brand,model_mid,model_detail,segment,brand_tier,rv_grade,risk_grade,profit_grade,brand_delinquency_rate,model_delinquency_rate,model_profit_rate
TOYOTA,Hilux,Hilux,Pick up,A,1,A,Best,0.08670935609564226,0.0034489742604553435,0.12132869047569042
TOYOTA,Hilux,Hilux Revo-Rally,Pick up,A,1,A,Best,0.08670935609564226,0.002570386826589027,0.12132869047569042
TOYOTA,Hilux,Hilux Vigo,Pick up,A,1,A,Best,0.08670935609564226,0.00022468262039728473,0.12132869047569042
TOYOTA,Alphard,Alphard,Van,A,1,E,Best,0.08670935609564226,0.17314053170667362,0.11828102676247179
TOYOTA,Landcruiser,Landcruiser,SUV D-seg,A,1,B,Best,0.08670935609564226,0.07653228563852837,0.09581690727498518
TOYOTA,Prius,Prius,Sedan,A,1,D,Best,0.08670935609564226,0.12276629784975186,0.12616238147387804
TOYOTA,Corolla,Corolla,Sedan,A,,A,Best,0.08670935609564226,0.0011570359358628625,0.12796694170366982
TOYOTA,Corolla,Corolla Cross,SUV B-seg,A,1,,Best,0.08670935609564226,,0.12796694170366982
TOYOTA,Yaris ,Yaris Cross,SUV B-seg,A,,,,0.08670935609564226,,0.0
TOYOTA,Electric,Electric Bz4x,SUV C-seg,A,,,,0.08670935609564226,,
TOYOTA,Granvia,Granvia,Van,A,,,Best,0.08670935609564226,,0.1253423584602045
TOYOTA,HIACE,HIACE,Van,A,,,,0.08670935609564226,,0.0
TOYOTA,4runner,4runner,SUV D-seg,A,,,,0.08670935609564226,,0.0
TOYOTA,Fortuner,Fortuner,SUV D-seg,A,1,A,Best,0.08670935609564226,0.0035979244736105984,0.12016283118862728
TOYOTA,Raize,Raize,SUV B-seg,A,1,A,Best,0.08670935609564226,0.000914709190809046,0.130869910055922
TOYOTA,RUSH,RUSH,SUV B-seg,A,1,A,Best,0.08670935609564226,0.0015932394352577068,0.12064786148644684
TOYOTA,VIOS,VIOS,Sedan,A,,,Best,0.08670935609564226,,0.1122230517607346
TOYOTA,BZ4X,BZ4X,SUV C-seg,A,,,,0.08670935609564226,,0.0
TOYOTA,Prado,Prado,SUV D-seg,A,,,,0.08670935609564226,,0.0
TOYOTA,Tundra,Tundra,Pick up,A,,A,Good,0.08670935609564226,0.008179567770298416,0.06250375109313513
TOYOTA,AVANZA,AVANZA,SUV B-seg,A,,A,Best,0.08670935609564226,0.0002450762003558182,0.11200213975868874
TOYOTA,WIGO,WIGO,SUV B-seg,A,,,,0.08670935609564226,,0.0
TOYOTA,Sienna,Sienna,Van,A,,A,Best,0.08670935609564226,0.0010436168251073956,0.13591175996516527
FORD,Ranger ,Ranger XLT,Pick up,A,1,A,Best,0.1797903316359562,0.00331989128558845,0.10419074958293016
FORD,Ranger ,Ranger Wildtrak,Pick up,A,2,A,Best,0.1797903316359562,0.011307419217976513,0.10419074958293016
FORD,Raptor,Ranger Raptor,Pick up,A,1,A,Best,0.1797903316359562,0.013254367934739159,0.11429293398412078
FORD,F150,F150,Pick up,A,,A,Best,0.1797903316359562,0.014415550611055171,0.10515623861362854
FORD,Eco-sport ,Eco-sport ,SUV B-seg,A,1,,Best,0.1797903316359562,,0.12362646799243834
FORD,Everest,Everest,SUV D-seg,A,1,A,Best,0.1797903316359562,0.0015732678885289348,0.11729020832872737
FORD,Territory,Territory,SUV C-seg,A,1,A,Best,0.1797903316359562,0.0,0.11327530851151897
FORD,Transit,Transit,Van,A,,,Worst,0.1797903316359562,,-0.1268130180475647
FORD,Expedition,Expedition Platinum Max,SUV D-seg,A,,,,0.1797903316359562,,0.0
LEXUS,RX,RX300,SUV D-seg,A,,A,Best,0.09693168740927798,0.004233299500573227,0.12065699682987799
LEXUS,RX,RX330,SUV D-seg,A,,A,Best,0.09693168740927798,0.007268801822494357,0.12065699682987799
LEXUS,RX,RX350,SUV D-seg,A,3,A,Best,0.09693168740927798,0.010828116174925795,0.12065699682987799
LEXUS,RX,RX500H,SUV D-seg,A,,,Best,0.09693168740927798,,0.12065699682987799
LEXUS,RX,RX300 F Sport,SUV D-seg,A,,,Best,0.09693168740927798,,0.12065699682987799
LEXUS,RX,RX450H,SUV D-seg,A,1,A,Best,0.09693168740927798,0.0005189866452653989,0.12065699682987799
LEXUS,NX,NX200T,SUV C-seg,A,,B,Best,0.09693168740927798,0.05239583598939047,0.11684848815196885
LEXUS,LX,LX570,SUV D-seg,A,,A,Best,0.09693168740927798,0.03976487864752717,0.09697555254531219
LEXUS,LX,LX600,SUV D-seg,A,,,Best,0.09693168740927798,,0.09697555254531219
LEXUS,LM,LM300H,Van,A,,A,Best,0.09693168740927798,0.00702107791556062,0.11614461950210665
MAZDA,BT50,BT-50,Pick up,A,1,A,Best,0.0,0.002514427908024804,0.12509270189325852
MAZDA,CX3,CX3,SUV B-seg,A,1,A,Best,0.0,0.0007737145760046547,0.12278981799836312
MAZDA,CX30,CX30,SUV B-seg,A,,A,Best,0.0,0.00047346177038769683,0.11889347009246715
MAZDA,CX5,CX5,SUV C-seg,A,1,A,Best,0.0,0.002276384528283206,0.12245429862462592
MAZDA,CX8,CX8,SUV D-seg,A,,,Best,0.0,,0.12785826254720703
MAZDA,CX9,CX9,SUV D-seg,A,,A,Best,0.0,0.0008426563757901064,0.11492206946938732
MAZDA,Mazda Number Series,Mazda 2,SUV C-seg,A,3,A,Best,0.0,0.0003624155166693118,0.12098702634696878
MAZDA,Mazda Number Series,Mazda 3,SUV B-seg,A,1,A,Best,0.0,0.001965574492631389,0.12098702634696878
MAZDA,Mazda Number Series,Mazda 6,Sedan,A,,A,Best,0.0,0.0010463064470402042,0.12098702634696878
MAZDA,Mazda Number Series,2 HB,Sedan,A,,,Best,0.0,,0.12098702634696878
HYUNDAI,H1,H1,Van,A,,A,Good,0.08820898738638468,0.00032326017591205035,0.05186182858890119
HYUNDAI,H350,H350,Van,A,,,,0.08820898738638468,,0.0
HYUNDAI,Kona,Kona,SUV B-seg,A,,,,0.08820898738638468,,0.0
HYUNDAI,Palisade,Palisade,SUV D-seg,A,1,A,Best,0.08820898738638468,0.0009268838415993591,0.11592011250360243
HYUNDAI,Santa Fe,Santa Fe,SUV D-seg,A,,A,Best,0.08820898738638468,0.0,0.13659637344899334
HYUNDAI,Staria,Staria,Van,A,1,,Best,0.08820898738638468,,0.1334001464107513
HYUNDAI,Tucson,Tucson,SUV C-seg,A,1,A,Best,0.08820898738638468,0.0007238506619845759,0.14083514259936902
