brand,model_name,model_norm,product_type,car_year,vehicle_age,car_price,brand_origin,segment,brand_tier,rv_grade,risk_grade,profit_grade,brand_delinquency_rate,model_delinquency_rate,model_profit_rate,reference_new_price,brand_reference_new_price,brand_new_obs,implied_residual_ratio
ASTON MARTIN,V8 Vantage S,V8 VANTAGE S,Used Car,2009,15.0,125000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2008,16.0,30000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2008,16.0,24500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A4,A4,Used Car,2008,16.0,16500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2008,16.0,22000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2009,15.0,29000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,R8,R8,Used Car,2009,15.0,97000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2010,14.0,36500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2010,14.0,45000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2010,14.0,28500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2010,14.0,32000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2010,14.0,28000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q5,Q5,Used Car,2011,13.0,35000.0,Europe,SUV C-seg,Unknown,Unknown,Unknown,Normal,0.27183101557412664,,0.03632335633703288,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,45999.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,42000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,54500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,50000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,58000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,45000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,32500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2011,13.0,32500.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,25200.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,31000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,28700.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,40000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A4,A4,Used Car,2011,13.0,26000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,30000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,31700.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2011,13.0,29000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,Q7,Q7,Used Car,2012,12.0,43700.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
AUDI,A7,A7,Used Car,2012,12.0,65000.0,Europe,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,
