brand,model_norm,model_name,reference_new_price,new_price_observations,brand_reference_new_price,brand_new_obs,brand_origin
BMW,420I,420i,127000.0,1,126250.0,6,Europe
BMW,X1 SDRIVE 18I XLINE,X1 sDrive 18i xLine,85000.0,1,126250.0,6,Europe
BMW,X4,X4,128800.0,1,126250.0,6,Europe
BMW,X4 XDRIVE 20I MSPORT,X4 xDrive 20i Msport,120750.0,2,126250.0,6,Europe
BMW,X7 40I M SPORT PRO,X7 40i M Sport Pro,216000.0,1,126250.0,6,Europe
BYD,ATTO 3,ATTO 3,35300.0,3,35300.0,9,China
BYD,DENZA,Denza,88000.0,1,35300.0,9,China
BYD,E2,E2,24300.0,1,35300.0,9,China
BYD,NETA V,NETA V,25950.0,1,35300.0,9,China
BYD,SEAGULL,Seagull,19300.0,2,35300.0,9,China
BYD,TANG,Tang,60000.0,1,35300.0,9,China
CADILLAC,ESCALADE ESV,Escalade ESV,252500.0,2,250000.0,3,USA
CADILLAC,LYRIQ ELETRIC,LYRIQ ELETRIC,88000.0,1,250000.0,3,USA
CHANGAN,CS35 PLUS,CS35 PLUS,29000.0,2,38400.0,27,China
CHANGAN,CS55 PLUS,CS55 PLUS,33900.0,8,38400.0,27,China
CHANGAN,UNI-K,UNI-K,55500.0,6,38400.0,27,China
CHANGAN,UNI-T,UNI-T,39550.0,10,38400.0,27,China
CHANGAN,UNI-T 1.5T,UNI-T 1.5T,40000.0,1,38400.0,27,China
CHEVROLET,EQUINOX,Equinox,42790.0,1,26500.0,138,USA
CHEVROLET,SUBURBAN HIGH COUNTRY,Suburban High Country,168000.0,1,26500.0,138,USA
CHEVROLET,TRACKER LT REDLINE,Tracker LT Redline,26500.0,122,26500.0,138,USA
CHEVROLET,TRAILBLAZER LT,TRAILBLAZER LT,35999.0,4,26500.0,138,USA
CHEVROLET,TRAILBLAZER PREMIER,TRAILBLAZER PREMIER,41500.0,3,26500.0,138,USA
CHEVROLET,TRAX LT,Trax LT,37500.0,6,26500.0,138,USA
CHEVROLET,TRAX RS,Trax RS,45999.0,1,26500.0,138,USA
DONGFENG,AEOLUS A3,Aeolus A3,33900.0,1,34000.0,23,Other
DONGFENG,AEOLUS A30,Aeolus A30,31500.0,2,34000.0,23,Other
DONGFENG,AEOLUS A30 GS,Aeolus A30 GS,30450.0,2,34000.0,23,Other
DONGFENG,AEOLUS GS,Aeolus GS,35000.0,7,34000.0,23,Other
DONGFENG,AEOLUS GS ELITE,Aeolus GS Elite,33000.0,3,34000.0,23,Other
DONGFENG,AEOLUS HUGE,Aeolus Huge,45000.0,2,34000.0,23,Other
DONGFENG,AEOLUS NEW A3,Aeolus New A3,33900.0,3,34000.0,23,Other
DONGFENG,VENUCIA STAR ULTRA,VENUCIA STAR ULTRA,46950.0,2,34000.0,23,Other
DONGFENG,VENUCIA V-ONLINE,VENUCIA V-ONLINE,39900.0,1,34000.0,23,Other
FAW,JETTA VS5,JETTA VS5,35000.0,2,35000.0,3,Other
FAW,JETTA VS7,JETTA VS7,33000.0,1,35000.0,3,Other
FORD,EVEREST,Everest,79400.0,7,50900.0,1526,USA
FORD,EVEREST 2.0 BI-TURBO,Everest 2.0 Bi-Turbo,79450.0,6,50900.0,1526,USA
FORD,EVEREST 2.0L SI-TURBO,Everest 2.0L Si-Turbo,69900.0,1,50900.0,1526,USA
FORD,EVEREST LIMITED,Everest Limited,79900.0,1,50900.0,1526,USA
FORD,EVEREST SPORT,Everest Sport,69400.0,16,50900.0,1526,USA
FORD,EVEREST TITANIUM,Everest Titanium,79400.0,127,50900.0,1526,USA
FORD,EVEREST TITANIUM 2.0 BI TURBO,Everest Titanium 2.0 Bi Turbo,79900.0,7,50900.0,1526,USA
FORD,FORD RANGER DC XL (6AT),FORD RANGER DC XL (6AT),36900.0,1,50900.0,1526,USA
FORD,NEXT-GEN RANGER WILDTRAK 2.0L I4 BI-TURBO,Next-Gen Ranger Wildtrak 2.0L I4 Bi-Turbo,51900.0,1,50900.0,1526,USA
FORD,NEXT-GEN RANGER XL 2.0L SI-TURBO,Next-Gen Ranger XL 2.0L Si-Turbo,39000.0,6,50900.0,1526,USA
FORD,NEXT-GEN RANGER XLT,Next-Gen Ranger XLT,45500.0,1,50900.0,1526,USA
FORD,NEXT-GEN RANGER XLT 2.0L BI-TURBO,Next-Gen Ranger XLT 2.0L Bi-Turbo,45000.0,1,50900.0,1526,USA
